"Amount" "Sale" "Time" "Quits" "Neuroticism" "Extraversion" "Openness" "Agreeableness" "Conscientiousness"
"1" 27.65 0 1.10288709537112 FALSE 2.29166666666667 3.57770833333333 3.52083333333333 3.79166666666667 3.45833333333333
"2" 25.26 1 0.964652245682573 TRUE 1.97916666666667 4.16666666666667 3.27083333333333 4.16666666666667 3.4375
"3" 26.9 1 1.21680024871896 TRUE 2.83333333333333 3.875 3.5 3.4375 4.1875
"4" 25.67 1 1.31072535893774 TRUE 2.1875 3.22916666666667 3.35416666666667 3.20479166666667 3.60416666666667
"5" 30.03 0 1.34361321860145 FALSE 2.81145833333333 4.08333333333333 3.85416666666667 3.6875 3.74125
"6" 33.01 1 0.862707458916524 TRUE 2.81854166666667 3.39583333333333 2.95833333333333 3.10416666666667 3.27083333333333
"7" 32.31 0 1.27581319429175 TRUE 3.08625 3.04166666666667 3.89583333333333 3.58520833333333 3.4375
"8" 27.06 1 1.24857369418774 TRUE 2.64583333333333 3.70833333333333 3.9375 3.83333333333333 3.9375
"9" 36.69 0 0.752925286078399 TRUE 3.22916666666667 3.58333333333333 3.33333333333333 3.02083333333333 3.0625
"10" 45.35 1 0.0215368575501836 TRUE 3.6875 3.125 4.17604166666667 4.08333333333333 2.54166666666667
"11" 26.14 1 1.03376061202953 TRUE 2.29166666666667 3.79166666666667 3.39583333333333 3.20833333333333 3.91666666666667
"12" 25.95 1 0.968228158962647 TRUE 2.1875 3.95833333333333 4.08333333333333 3.27083333333333 3.54166666666667
"13" 29.2 0 0.326008059928592 TRUE 2.52083333333333 3.25 3.5 3.125625 3.125
"14" 36.04 1 0.695714387072468 TRUE 2.85708333333333 3.72916666666667 3.27083333333333 3.58520833333333 2.8125
"15" 35.78 1 0.711719109489582 TRUE 2.97916666666667 3.33333333333333 3.02083333333333 3.72916666666667 3.0625
"16" 35.9 1 0.325916103447292 TRUE 2.66666666666667 3.39583333333333 3.25 2.66666666666667 2.70833333333333
"17" 28.42 1 1.04934307980001 TRUE 2.27083333333333 3.875 3.25 2.375 3.1875
"18" 37.29 1 0.599142272966352 TRUE 3.39583333333333 3.35416666666667 3.10416666666667 3.35416666666667 3.39583333333333
"19" 27.45 0 1.03164615731049 FALSE 2.33333333333333 3.3125 3.25 3.27083333333333 3.39583333333333
"20" 38.21 1 0.708302240110177 TRUE 3.04166666666667 4.125 4.08333333333333 2.875 3
"21" 29.09 1 0.845442709459661 TRUE 2.41666666666667 3.91666666666667 3.25 3.64583333333333 3.35416666666667
"22" 28.69 0 0.791564214310797 TRUE 2.20833333333333 3.58333333333333 3.58333333333333 4.14583333333333 2.9375
"23" 31.37 1 1.41095614462154 FALSE 2.79041666666667 2.5 3.97916666666667 3.85416666666667 3.64583333333333
"24" 31.71 1 0.342122381315941 TRUE 2.29166666666667 2.85416666666667 4.1875 4.27083333333333 3.1875
"25" 36.58 1 0.504296517876518 TRUE 3.14583333333333 4.16666666666667 4.08333333333333 3.10416666666667 3.125
"26" 37.52 1 1.16351470012854 TRUE 3.47916666666667 3.125 2.97916666666667 3.3125 3.1875
"27" 27.92 1 0.341307342091188 TRUE 2.375 3.77083333333333 3.16666666666667 3.5 3.52083333333333
"28" 26.29 1 0.532758940504611 TRUE 2.29166666666667 3.22916666666667 3.72916666666667 3.70833333333333 3.6875
"29" 33.3 1 1.13107638896749 TRUE 2.64583333333333 3.375 3.79166666666667 3.72916666666667 3.29166666666667
"30" 35.37 1 0.695370314843488 TRUE 3.0625 3.14583333333333 4.125 3.4375 3.14583333333333
"31" 34.37 1 0.697343460318975 TRUE 2.70833333333333 3.79166666666667 3.60416666666667 3.75 3.20833333333333
"32" 24.5 0 1.59142373444653 FALSE 2.02083333333333 3.8125 3.8125 3.47916666666667 3.54166666666667
"33" 39.02 0 0.473836158531311 TRUE 3.14583333333333 3.77083333333333 3.72916666666667 3.375 2.95833333333333
"34" 42.84 1 0.562433969138205 TRUE 3.19479166666667 3.45833333333333 3.79166666666667 3.64583333333333 2.52083333333333
"35" 27.46 0 0.78334352865446 FALSE 2.45833333333333 3.5 3.5 3.16666666666667 3.5625
"36" 38.43 1 0.656268203243674 TRUE 3.08333333333333 3.39583333333333 4 3.22916666666667 3.10416666666667
"37" 37.93 0 0.219995852034403 TRUE 3.22916666666667 3.20833333333333 3.60416666666667 3.52083333333333 2.96166666666667
"38" 40.25 0 0.674660389324289 TRUE 2.97916666666667 2.6875 3.16666666666667 3.25 2.79166666666667
"39" 31.96 1 0.221541531349864 TRUE 3.0625 3.25 3.3125 3.48875 3.5
"40" 27.85 0 0.691862612738244 TRUE 2 3.02083333333333 3.79166666666667 3.5 2.9375
"41" 32.41 1 0.599025618907796 TRUE 2.5625 4.25 3.60416666666667 2.4375 3.02083333333333
"42" 41.64 1 0.41602290373531 TRUE 2.97916666666667 3.39583333333333 3.41666666666667 3.125 2.4375
"43" 36.37 0 0.527884488897757 TRUE 2.9375 3.0625 3.79166666666667 3.375 2.85416666666667
"44" 40.3 0 0.352640048151772 TRUE 3.0625 3.89583333333333 3.89583333333333 3.375 2.66666666666667
"45" 38.75 0 1.01993160830813 TRUE 3.27083333333333 3.52083333333333 3.1875 3.08333333333333 3
"46" 36.93 0 0.316815616953177 TRUE 3.29166666666667 3.5 3.61041666666667 2.8125 3.16666666666667
"47" 39.28 1 0.151829835917795 TRUE 3.10416666666667 2.97916666666667 4.125 3.27083333333333 2.838125
"48" 39.38 1 0.500105323661445 TRUE 3.45833333333333 3.475625 3.27083333333333 3.1875 3.14583333333333
"49" 37.38 0 1.51311732690346 TRUE 3 3.625 3.79166666666667 3.375 2.89583333333333
"50" 33.14 0 0.962804965426483 FALSE 3.14583333333333 3.60416666666667 3.22916666666667 3.125 3.5625
"51" 29.28 1 1.40069338539416 TRUE 2.67041666666667 3.35416666666667 3.4375 3.376875 3.77083333333333
"52" 41.55 1 0.638136613236692 TRUE 3.654375 3.97916666666667 3.60208333333333 3.58333333333333 2.79166666666667
"53" 34.19 0 0.431177248564622 TRUE 2.6875 3.54708333333333 3.78666666666667 3.35416666666667 3.10416666666667
"54" 31.1 1 0.499811429700267 TRUE 2.54166666666667 3.45833333333333 3.72916666666667 3.52083333333333 3.4375
"55" 41.23 0 0.25989245487448 TRUE 3.47916666666667 3.125 3.5 2.91666666666667 2.77083333333333
"56" 22.12 0 0.850957627283306 FALSE 2.02083333333333 3.72916666666667 3.4375 3.66666666666667 3.70833333333333
"57" 38.89 1 0.261419004720133 TRUE 2.79166666666667 3.58333333333333 3.91666666666667 3.75 2.35416666666667
"58" 27.26 1 0.355973802530877 TRUE 2.20833333333333 3.89583333333333 3.41666666666667 2.89583333333333 3.29166666666667
