"EmpID" "Month" "nSales" "TotSales"
"1" 1000 1 4 4002.92
"2" 1000 2 9 8983.81
"3" 1000 3 6 5953.8
"4" 1000 4 14 13916.99
"5" 1000 5 12 11954.92
"6" 1000 6 11 10922.45
"7" 1000 7 16 15910.43
"8" 1000 8 10 9939.73
"9" 1000 9 16 15754.01
"10" 1000 10 21 20734.87
"11" 1000 11 24 23794.77
"12" 1000 12 20 19755.49
"13" 1001 1 8 7992.34
"14" 1001 2 6 6011.97
"15" 1001 3 10 9990.52
"16" 1001 4 12 11948.24
"17" 1001 5 10 9911.98
"18" 1001 6 18 17841.35
"19" 1001 7 14 13784.58
"20" 1001 8 16 15881.61
"21" 1001 9 13 12871.72
"22" 1001 10 18 17828.27
"23" 1001 11 24 23754.25
"24" 1001 12 24 23763.82
"25" 1002 1 9 9011.24
"26" 1002 2 7 6968.18
"27" 1002 3 18 17946.9
"28" 1002 4 9 8953.77
"29" 1002 5 15 14964.72
"30" 1002 6 13 12970.32
"31" 1002 7 23 22944.3
"32" 1002 8 5 4976.11
"33" 1002 9 16 16008.47
"34" 1002 10 15 14915.5
"35" 1002 11 14 13909.26
"36" 1002 12 21 20857.22
"37" 1003 1 9 9041.22
"38" 1003 2 2 2010.46
"39" 1003 3 7 7008.97
"40" 1003 4 12 11953.93
"41" 1003 5 16 16080.95
"42" 1003 6 11 10947.62
"43" 1003 7 14 13971.64
"44" 1003 8 17 16921.08
"45" 1003 9 8 7961.88
"46" 1003 10 15 14849.16
"47" 1003 11 19 18842.41
"48" 1003 12 19 18793.01
"49" 1004 1 11 11077.41
"50" 1004 2 12 12051.9
"51" 1004 3 15 15045.54
"52" 1004 4 12 12056.04
"53" 1004 5 14 14016.22
"54" 1004 6 24 24119.5
"55" 1004 7 16 15958.89
"56" 1004 8 28 27854.73
"57" 1004 9 11 10915.48
"58" 1004 10 22 21810.42
"59" 1004 11 20 19887.48
"60" 1004 12 27 26793.59
"61" 1005 1 8 8020.66
"62" 1005 2 11 11008.3
"63" 1005 3 17 17080.09
"64" 1005 4 15 14992.27
"65" 1005 5 13 12933.79
"66" 1005 6 13 12938.45
"67" 1005 7 24 23804.52
"68" 1005 8 16 15932.39
"69" 1005 9 12 11950.28
"70" 1005 10 13 12883.84
"71" 1005 11 27 26864.67
"72" 1005 12 16 15932.38
"73" 1006 1 16 16076.57
"74" 1006 2 19 19147.16
"75" 1006 3 12 12004.53
"76" 1006 4 14 14010.44
"77" 1006 5 15 15050.42
"78" 1006 6 15 14988.21
"79" 1006 7 19 18879.15
"80" 1006 8 16 15906.98
"81" 1006 9 22 21959.07
"82" 1006 10 15 15003.18
"83" 1006 11 25 24845.01
"84" 1006 12 27 26854.56
"85" 1007 1 14 14161.35
"86" 1007 2 23 23124.09
"87" 1007 3 17 17068.9
"88" 1007 4 9 8984.32
"89" 1007 5 7 7003.77
"90" 1007 6 20 20007.41
"91" 1007 7 14 14027.9
"92" 1007 8 17 16934.93
"93" 1007 9 28 27858.51
"94" 1007 10 17 16963.67
"95" 1007 11 29 28927.87
"96" 1007 12 18 17934.28
