"EmpID" "Month" "nSales" "Team"
"1" 100 1 16 "A"
"2" 100 2 21 "A"
"3" 100 3 11 "A"
"4" 100 4 18 "A"
"5" 100 5 13 "A"
"6" 100 6 13 "A"
"7" 100 7 17 "A"
"8" 100 8 21 "A"
"9" 100 9 20 "A"
"10" 100 10 13 "A"
"11" 100 11 19 "A"
"12" 100 12 21 "A"
"13" 101 1 11 "A"
"14" 101 2 6 "A"
"15" 101 3 12 "A"
"16" 101 4 12 "A"
"17" 101 5 15 "A"
"18" 101 6 23 "A"
"19" 101 7 17 "A"
"20" 101 8 20 "A"
"21" 101 9 18 "A"
"22" 101 10 16 "A"
"23" 101 11 15 "A"
"24" 101 12 24 "A"
"25" 102 1 7 "A"
"26" 102 2 15 "A"
"27" 102 3 13 "A"
"28" 102 4 NA "A"
"29" 102 5 15 "A"
"30" 102 6 18 "A"
"31" 102 7 19 "A"
"32" 102 8 20 "A"
"33" 102 9 23 "A"
"34" 102 10 21 "A"
"35" 102 11 28 "A"
"36" 102 12 30 "A"
"37" 103 1 13 "A"
"38" 103 2 12 "A"
"39" 103 3 9 "A"
"40" 103 4 21 "A"
"41" 103 5 19 "A"
"42" 103 6 22 "A"
"43" 103 7 22 "A"
"44" 103 8 12 "A"
"45" 103 9 16 "A"
"46" 103 10 25 "A"
"47" 103 11 19 "A"
"48" 103 12 21 "A"
"49" 104 1 21 "A"
"50" 104 2 11 "A"
"51" 104 3 20 "A"
"52" 104 4 17 "A"
"53" 104 5 21 "A"
"54" 104 6 25 "A"
"55" 104 7 23 "A"
"56" 104 8 21 "A"
"57" 104 9 28 "A"
"58" 104 10 18 "A"
"59" 104 11 31 "A"
"60" 104 12 21 "A"
"61" 105 1 11 "A"
"62" 105 2 19 "A"
"63" 105 3 17 "A"
"64" 105 4 25 "A"
"65" 105 5 20 "A"
"66" 105 6 19 "A"
"67" 105 7 21 "A"
"68" 105 8 27 "A"
"69" 105 9 24 "A"
"70" 105 10 29 "A"
"71" 105 11 32 "A"
"72" 105 12 32 "A"
"73" 200 1 12 "A"
"74" 200 2 8 "A"
"75" 200 3 18 "A"
"76" 200 4 17 "A"
"77" 200 5 19 "A"
"78" 200 6 11 "A"
"79" 200 7 17 "A"
"80" 200 8 16 "A"
"81" 200 9 16 "A"
"82" 200 10 19 "A"
"83" 200 11 20 "A"
"84" 200 12 20 "A"
"85" 201 1 12 "A"
"86" 201 2 NA "A"
"87" 201 3 17 "A"
"88" 201 4 20 "A"
"89" 201 5 17 "A"
"90" 201 6 14 "A"
"91" 201 7 21 "A"
"92" 201 8 15 "A"
"93" 201 9 26 "A"
"94" 201 10 23 "A"
"95" 201 11 19 "A"
"96" 201 12 24 "A"
"97" 202 1 16 "A"
"98" 202 2 9 "A"
"99" 202 3 10 "A"
"100" 202 4 18 "A"
"101" 202 5 14 "A"
"102" 202 6 19 "A"
"103" 202 7 18 "A"
"104" 202 8 10 "A"
"105" 202 9 21 "A"
"106" 202 10 24 "A"
"107" 202 11 27 "A"
"108" 202 12 25 "A"
"109" 203 1 14 "A"
"110" 203 2 21 "A"
"111" 203 3 15 "A"
"112" 203 4 18 "A"
"113" 203 5 NA "A"
"114" 203 6 26 "A"
"115" 203 7 30 "A"
"116" 203 8 22 "A"
"117" 203 9 23 "A"
"118" 203 10 24 "A"
"119" 203 11 26 "A"
"120" 203 12 19 "A"
"121" 204 1 15 "A"
"122" 204 2 18 "A"
"123" 204 3 17 "A"
"124" 204 4 13 "A"
"125" 204 5 25 "A"
"126" 204 6 23 "A"
"127" 204 7 23 "A"
"128" 204 8 22 "A"
"129" 204 9 22 "A"
"130" 204 10 35 "A"
"131" 204 11 26 "A"
"132" 204 12 25 "A"
"133" 300 1 12 "A"
"134" 300 2 9 "A"
"135" 300 3 11 "A"
"136" 300 4 17 "A"
"137" 300 5 9 "A"
"138" 300 6 21 "A"
"139" 300 7 17 "A"
"140" 300 8 15 "A"
"141" 300 9 21 "A"
"142" 300 10 20 "A"
"143" 300 11 22 "A"
"144" 300 12 25 "A"
"145" 301 1 11 "A"
"146" 301 2 14 "A"
"147" 301 3 11 "A"
"148" 301 4 20 "A"
"149" 301 5 17 "A"
"150" 301 6 11 "A"
"151" 301 7 12 "A"
"152" 301 8 23 "A"
"153" 301 9 15 "A"
"154" 301 10 25 "A"
"155" 301 11 20 "A"
"156" 301 12 31 "A"
"157" 302 1 9 "A"
"158" 302 2 19 "A"
"159" 302 3 10 "A"
"160" 302 4 21 "A"
"161" 302 5 14 "A"
"162" 302 6 19 "A"
"163" 302 7 25 "A"
"164" 302 8 19 "A"
"165" 302 9 15 "A"
"166" 302 10 16 "A"
"167" 302 11 15 "A"
"168" 302 12 23 "A"
"169" 400 1 12 "A"
"170" 400 2 15 "A"
"171" 400 3 15 "A"
"172" 400 4 15 "A"
"173" 400 5 10 "A"
"174" 400 6 19 "A"
"175" 400 7 17 "A"
"176" 400 8 18 "A"
"177" 400 9 19 "A"
"178" 400 10 15 "A"
"179" 400 11 23 "A"
"180" 400 12 25 "A"
"181" 401 1 8 "A"
"182" 401 2 16 "A"
"183" 401 3 16 "A"
"184" 401 4 19 "A"
"185" 401 5 9 "A"
"186" 401 6 NA "A"
"187" 401 7 26 "A"
"188" 401 8 19 "A"
"189" 401 9 25 "A"
"190" 401 10 22 "A"
"191" 401 11 23 "A"
"192" 401 12 24 "A"
"193" 402 1 10 "A"
"194" 402 2 14 "A"
"195" 402 3 16 "A"
"196" 402 4 20 "A"
"197" 402 5 18 "A"
"198" 402 6 20 "A"
"199" 402 7 17 "A"
"200" 402 8 20 "A"
"201" 402 9 21 "A"
"202" 402 10 33 "A"
"203" 402 11 33 "A"
"204" 402 12 24 "A"
"205" 403 1 9 "A"
"206" 403 2 16 "A"
"207" 403 3 14 "A"
"208" 403 4 15 "A"
"209" 403 5 13 "A"
"210" 403 6 17 "A"
"211" 403 7 28 "A"
"212" 403 8 29 "A"
"213" 403 9 26 "A"
"214" 403 10 17 "A"
"215" 403 11 24 "A"
"216" 403 12 25 "A"
"217" 404 1 17 "A"
"218" 404 2 13 "A"
"219" 404 3 21 "A"
"220" 404 4 18 "A"
"221" 404 5 27 "A"
"222" 404 6 28 "A"
"223" 404 7 22 "A"
"224" 404 8 25 "A"
"225" 404 9 24 "A"
"226" 404 10 29 "A"
"227" 404 11 27 "A"
"228" 404 12 30 "A"
"229" 405 1 18 "A"
"230" 405 2 22 "A"
"231" 405 3 21 "A"
"232" 405 4 23 "A"
"233" 405 5 29 "A"
"234" 405 6 16 "A"
"235" 405 7 19 "A"
"236" 405 8 23 "A"
"237" 405 9 31 "A"
"238" 405 10 35 "A"
"239" 405 11 23 "A"
"240" 405 12 23 "A"
"241" 406 1 21 "A"
"242" 406 2 23 "A"
"243" 406 3 18 "A"
"244" 406 4 25 "A"
"245" 406 5 23 "A"
"246" 406 6 21 "A"
"247" 406 7 17 "A"
"248" 406 8 29 "A"
"249" 406 9 31 "A"
"250" 406 10 27 "A"
"251" 406 11 30 "A"
"252" 406 12 30 "A"
"253" 500 1 13 "A"
"254" 500 2 13 "A"
"255" 500 3 10 "A"
"256" 500 4 10 "A"
"257" 500 5 15 "A"
"258" 500 6 19 "A"
"259" 500 7 25 "A"
"260" 500 8 20 "A"
"261" 500 9 20 "A"
"262" 500 10 38 "A"
"263" 500 11 22 "A"
"264" 500 12 18 "A"
"265" 501 1 13 "A"
"266" 501 2 9 "A"
"267" 501 3 16 "A"
"268" 501 4 15 "A"
"269" 501 5 21 "A"
"270" 501 6 16 "A"
"271" 501 7 23 "A"
"272" 501 8 24 "A"
"273" 501 9 23 "A"
"274" 501 10 25 "A"
"275" 501 11 23 "A"
"276" 501 12 25 "A"
"277" 502 1 13 "A"
"278" 502 2 17 "A"
"279" 502 3 10 "A"
"280" 502 4 17 "A"
"281" 502 5 20 "A"
"282" 502 6 14 "A"
"283" 502 7 19 "A"
"284" 502 8 27 "A"
"285" 502 9 21 "A"
"286" 502 10 28 "A"
"287" 502 11 20 "A"
"288" 502 12 28 "A"
"289" 503 1 16 "A"
"290" 503 2 14 "A"
"291" 503 3 15 "A"
"292" 503 4 21 "A"
"293" 503 5 21 "A"
"294" 503 6 30 "A"
"295" 503 7 20 "A"
"296" 503 8 17 "A"
"297" 503 9 29 "A"
"298" 503 10 23 "A"
"299" 503 11 15 "A"
"300" 503 12 29 "A"
"301" 504 1 19 "A"
"302" 504 2 21 "A"
"303" 504 3 19 "A"
"304" 504 4 19 "A"
"305" 504 5 15 "A"
"306" 504 6 28 "A"
"307" 504 7 22 "A"
"308" 504 8 28 "A"
"309" 504 9 18 "A"
"310" 504 10 21 "A"
"311" 504 11 22 "A"
"312" 504 12 28 "A"
"313" 505 1 16 "A"
"314" 505 2 25 "A"
"315" 505 3 16 "A"
"316" 505 4 15 "A"
"317" 505 5 18 "A"
"318" 505 6 25 "A"
"319" 505 7 34 "A"
"320" 505 8 27 "A"
"321" 505 9 26 "A"
"322" 505 10 27 "A"
"323" 505 11 26 "A"
"324" 505 12 33 "A"
"325" 506 1 16 "A"
"326" 506 2 11 "A"
"327" 506 3 22 "A"
"328" 506 4 18 "A"
"329" 506 5 25 "A"
"330" 506 6 32 "A"
"331" 506 7 27 "A"
"332" 506 8 25 "A"
"333" 506 9 19 "A"
"334" 506 10 29 "A"
"335" 506 11 40 "A"
"336" 506 12 28 "A"
"337" 600 1 8 "A"
"338" 600 2 11 "A"
"339" 600 3 9 "A"
"340" 600 4 12 "A"
"341" 600 5 NA "A"
"342" 600 6 12 "A"
"343" 600 7 22 "A"
"344" 600 8 12 "A"
"345" 600 9 19 "A"
"346" 600 10 16 "A"
"347" 600 11 NA "A"
"348" 600 12 23 "A"
"349" 601 1 11 "A"
"350" 601 2 9 "A"
"351" 601 3 NA "A"
