"EmpID" "Month" "nSales"
"1" 1000 1 11
"2" 1000 2 9
"3" 1000 3 14
"4" 1000 4 13
"5" 1000 5 14
"6" 1000 6 10
"7" 1000 7 25
"8" 1000 8 11
"9" 1000 9 19
"10" 1000 10 15
"11" 1000 11 20
"12" 1000 12 17
"13" 1001 1 12
"14" 1001 2 9
"15" 1001 3 14
"16" 1001 4 7
"17" 1001 5 22
"18" 1001 6 17
"19" 1001 7 17
"20" 1001 8 21
"21" 1001 9 23
"22" 1001 10 20
"23" 1001 11 25
"24" 1001 12 26
"25" 1002 1 15
"26" 1002 2 11
"27" 1002 3 9
"28" 1002 4 11
"29" 1002 5 22
"30" 1002 6 22
"31" 1002 7 14
"32" 1002 8 24
"33" 1002 9 17
"34" 1002 10 25
"35" 1002 11 14
"36" 1002 12 24
"37" 1003 1 9
"38" 1003 2 14
"39" 1003 3 12
"40" 1003 4 12
"41" 1003 5 19
"42" 1003 6 23
"43" 1003 7 16
"44" 1003 8 24
"45" 1003 9 24
"46" 1003 10 26
"47" 1003 11 33
"48" 1003 12 22
"49" 1004 1 17
"50" 1004 2 16
"51" 1004 3 10
"52" 1004 4 16
"53" 1004 5 19
"54" 1004 6 21
"55" 1004 7 21
"56" 1004 8 18
"57" 1004 9 26
"58" 1004 10 25
"59" 1004 11 21
"60" 1004 12 24
"61" 1005 1 15
"62" 1005 2 16
"63" 1005 3 18
"64" 1005 4 9
"65" 1005 5 13
"66" 1005 6 25
"67" 1005 7 20
"68" 1005 8 23
"69" 1005 9 20
"70" 1005 10 13
"71" 1005 11 31
"72" 1005 12 26
"73" 1006 1 20
"74" 1006 2 13
"75" 1006 3 21
"76" 1006 4 20
"77" 1006 5 16
"78" 1006 6 14
"79" 1006 7 19
"80" 1006 8 17
"81" 1006 9 17
"82" 1006 10 21
"83" 1006 11 28
"84" 1006 12 22
"85" 1007 1 16
"86" 1007 2 21
"87" 1007 3 16
"88" 1007 4 24
"89" 1007 5 24
"90" 1007 6 22
"91" 1007 7 16
"92" 1007 8 21
"93" 1007 9 20
"94" 1007 10 29
"95" 1007 11 31
"96" 1007 12 30
"97" 1100 1 14
"98" 1100 2 14
"99" 1100 3 21
"100" 1100 4 8
"101" 1100 5 24
"102" 1100 6 18
"103" 1100 7 20
"104" 1100 8 18
"105" 1100 9 23
"106" 1100 10 29
"107" 1100 11 NA
"108" 1100 12 25
"109" 1101 1 17
"110" 1101 2 17
"111" 1101 3 12
"112" 1101 4 15
"113" 1101 5 14
"114" 1101 6 21
"115" 1101 7 16
"116" 1101 8 21
"117" 1101 9 35
"118" 1101 10 23
"119" 1101 11 22
"120" 1101 12 34
"121" 1102 1 17
"122" 1102 2 20
"123" 1102 3 6
"124" 1102 4 9
"125" 1102 5 18
"126" 1102 6 18
"127" 1102 7 20
"128" 1102 8 18
"129" 1102 9 25
"130" 1102 10 20
"131" 1102 11 24
"132" 1102 12 30
"133" 1103 1 10
"134" 1103 2 17
"135" 1103 3 17
"136" 1103 4 11
"137" 1103 5 24
"138" 1103 6 18
"139" 1103 7 18
"140" 1103 8 21
"141" 1103 9 22
"142" 1103 10 32
"143" 1103 11 19
"144" 1103 12 19
"145" 1104 1 13
"146" 1104 2 17
"147" 1104 3 17
"148" 1104 4 21
"149" 1104 5 31
"150" 1104 6 18
"151" 1104 7 18
"152" 1104 8 26
"153" 1104 9 26
"154" 1104 10 25
"155" 1104 11 14
"156" 1104 12 16
"157" 1200 1 8
"158" 1200 2 22
"159" 1200 3 20
"160" 1200 4 11
"161" 1200 5 13
"162" 1200 6 18
"163" 1200 7 17
"164" 1200 8 18
"165" 1200 9 20
"166" 1200 10 20
"167" 1200 11 17
"168" 1200 12 18
"169" 1201 1 15
"170" 1201 2 11
"171" 1201 3 11
"172" 1201 4 10
"173" 1201 5 11
"174" 1201 6 19
"175" 1201 7 16
"176" 1201 8 24
"177" 1201 9 30
"178" 1201 10 19
"179" 1201 11 14
"180" 1201 12 27
"181" 1202 1 11
"182" 1202 2 12
"183" 1202 3 9
"184" 1202 4 15
"185" 1202 5 19
"186" 1202 6 10
"187" 1202 7 23
"188" 1202 8 12
"189" 1202 9 24
"190" 1202 10 16
"191" 1202 11 20
"192" 1202 12 32
"193" 1203 1 11
"194" 1203 2 5
"195" 1203 3 20
"196" 1203 4 13
"197" 1203 5 18
"198" 1203 6 11
"199" 1203 7 24
"200" 1203 8 10
"201" 1203 9 18
"202" 1203 10 18
"203" 1203 11 25
"204" 1203 12 20
"205" 1300 1 12
"206" 1300 2 9
"207" 1300 3 7
"208" 1300 4 13
"209" 1300 5 14
"210" 1300 6 6
"211" 1300 7 18
"212" 1300 8 12
"213" 1300 9 17
"214" 1300 10 23
"215" 1300 11 24
"216" 1300 12 25
"217" 1301 1 10
"218" 1301 2 13
"219" 1301 3 9
"220" 1301 4 12
"221" 1301 5 14
"222" 1301 6 18
"223" 1301 7 24
"224" 1301 8 16
"225" 1301 9 24
"226" 1301 10 25
"227" 1301 11 16
"228" 1301 12 17
"229" 1302 1 9
"230" 1302 2 11
"231" 1302 3 11
"232" 1302 4 14
"233" 1302 5 16
"234" 1302 6 16
"235" 1302 7 18
"236" 1302 8 15
"237" 1302 9 12
"238" 1302 10 21
"239" 1302 11 15
"240" 1302 12 28
"241" 1400 1 16
