"EmpID" "Month" "TotSales"
"1" 100 1 15687.46
"2" 100 2 21496.56
"3" 100 3 12015.78
"4" 100 4 18537.36
"5" 100 5 13440.72
"6" 100 6 12748.57
"7" 100 7 16931.61
"8" 100 8 21864.75
"9" 100 9 20147.32
"10" 100 10 12928.39
"11" 100 11 19046.06
"12" 100 12 19194.89
"13" 101 1 11559.9
"14" 101 2 6769.97
"15" 101 3 11177.44
"16" 101 4 11463.3
"17" 101 5 15683.2
"18" 101 6 21686.8
"19" 101 7 16329.49
"20" 101 8 19622.06
"21" 101 9 17521.22
"22" 101 10 16511.88
"23" 101 11 13251.96
"24" 101 12 23343.13
"25" 102 1 7783.04
"26" 102 2 13574.13
"27" 102 3 12676.36
"28" 102 4 NA
"29" 102 5 13633.35
"30" 102 6 17735.02
"31" 102 7 19978.48
"32" 102 8 21347.33
"33" 102 9 22929.23
"34" 102 10 21015.57
"35" 102 11 28615.6
"36" 102 12 28312.28
"37" 103 1 13323.09
"38" 103 2 13135.85
"39" 103 3 8409.75
"40" 103 4 20490.99
"41" 103 5 18290.95
"42" 103 6 21769.26
"43" 103 7 21396.09
"44" 103 8 12537.55
"45" 103 9 16351.73
"46" 103 10 21612.83
"47" 103 11 19655.85
"48" 103 12 20791.7
"49" 104 1 20399.71
"50" 104 2 10228.43
"51" 104 3 21041.34
"52" 104 4 16559.92
"53" 104 5 21048.18
"54" 104 6 26882.32
"55" 104 7 22486.09
"56" 104 8 21344.22
"57" 104 9 26952.95
"58" 104 10 16717.6
"59" 104 11 32545.22
"60" 104 12 19558.7
"61" 105 1 11035.39
"62" 105 2 18514.55
"63" 105 3 16398.11
"64" 105 4 24108.91
"65" 105 5 18879.58
"66" 105 6 17728.69
"67" 105 7 19368.85
"68" 105 8 26062.06
"69" 105 9 23571.38
"70" 105 10 27405.2
"71" 105 11 30821.07
"72" 105 12 30576.98
"73" 200 1 11712.93
"74" 200 2 9199.32
"75" 200 3 17397.91
"76" 200 4 16796.34
"77" 200 5 19151.07
"78" 200 6 10730.99
"79" 200 7 17468.02
"80" 200 8 17751.82
"81" 200 9 16394.37
"82" 200 10 19844.91
"83" 200 11 21254.77
"84" 200 12 20598.44
"85" 201 1 13180.75
"86" 201 2 NA
"87" 201 3 17875.36
"88" 201 4 19287.94
"89" 201 5 16715.17
"90" 201 6 14444.41
"91" 201 7 22475.76
"92" 201 8 17481.54
"93" 201 9 25613.04
"94" 201 10 21782.49
"95" 201 11 19605.22
"96" 201 12 22966.12
"97" 202 1 14821.01
"98" 202 2 8583.6
"99" 202 3 9142.01
"100" 202 4 16926.14
"101" 202 5 14395.17
"102" 202 6 19426.99
"103" 202 7 19345.26
"104" 202 8 9503.35
"105" 202 9 23209.43
"106" 202 10 24388.02
"107" 202 11 26842.8
"108" 202 12 24842.21
"109" 203 1 14386.68
"110" 203 2 21375.14
"111" 203 3 15608.86
"112" 203 4 19118.81
"113" 203 5 NA
"114" 203 6 26179.63
"115" 203 7 29189.22
"116" 203 8 21782.84
"117" 203 9 23132.7
"118" 203 10 21470.96
"119" 203 11 26389.32
"120" 203 12 18773.8
"121" 204 1 15456.05
"122" 204 2 18740.24
"123" 204 3 17371.26
"124" 204 4 13531.59
"125" 204 5 23478.79
"126" 204 6 23181.98
"127" 204 7 21932.89
"128" 204 8 22740.35
"129" 204 9 22478.94
"130" 204 10 33694.93
"131" 204 11 25011.63
"132" 204 12 24506.35
"133" 300 1 11902.11
"134" 300 2 8962.22
"135" 300 3 11044.36
"136" 300 4 16102.41
"137" 300 5 8764.11
"138" 300 6 19619.19
"139" 300 7 16735.35
"140" 300 8 14707.01
"141" 300 9 22216.46
"142" 300 10 22021.86
"143" 300 11 22343.06
"144" 300 12 23559.08
"145" 301 1 10460.13
"146" 301 2 13850.3
"147" 301 3 10366.11
"148" 301 4 19460.32
"149" 301 5 17615.36
"150" 301 6 12196.29
"151" 301 7 11141.79
"152" 301 8 20407.63
"153" 301 9 14096.85
"154" 301 10 25810.86
"155" 301 11 20498.06
"156" 301 12 30785.72
"157" 302 1 9128.96
"158" 302 2 19314.78
"159" 302 3 10410.53
"160" 302 4 22568.68
"161" 302 5 14714.7
"162" 302 6 18676.87
"163" 302 7 25148.66
"164" 302 8 19421.84
"165" 302 9 14016.68
"166" 302 10 16079.96
"167" 302 11 15589.37
"168" 302 12 23694.32
"169" 400 1 12162.31
"170" 400 2 16456.45
"171" 400 3 14963.88
"172" 400 4 14743.18
"173" 400 5 8724.43
"174" 400 6 20658.16
"175" 400 7 18494.23
"176" 400 8 18706.31
"177" 400 9 18407.76
"178" 400 10 15219.92
"179" 400 11 22914.86
"180" 400 12 24741.72
"181" 401 1 7948.6
"182" 401 2 15464.91
"183" 401 3 16948.03
"184" 401 4 19064.24
"185" 401 5 8345.43
"186" 401 6 NA
"187" 401 7 25648.72
"188" 401 8 18449.97
"189" 401 9 25395.58
"190" 401 10 22902.85
"191" 401 11 20480.33
"192" 401 12 21938.01
"193" 402 1 9845.04
"194" 402 2 13831.59
"195" 402 3 14209.9
"196" 402 4 18856.87
"197" 402 5 18219.97
"198" 402 6 20331.8
"199" 402 7 17556.17
"200" 402 8 19898.71
"201" 402 9 21899.09
"202" 402 10 33374.43
"203" 402 11 31358.66
"204" 402 12 22694.05
"205" 403 1 8538.38
"206" 403 2 14561.74
"207" 403 3 13409.27
"208" 403 4 15554.81
"209" 403 5 13406.03
"210" 403 6 16338.29
"211" 403 7 28545.35
"212" 403 8 29251.05
"213" 403 9 24809.43
"214" 403 10 18606.55
"215" 403 11 26289.97
"216" 403 12 25207.27
"217" 404 1 15738.45
"218" 404 2 11806.36
"219" 404 3 19856.18
"220" 404 4 18075.54
"221" 404 5 26761.92
"222" 404 6 28507.65
"223" 404 7 19940.92
"224" 404 8 24857.76
"225" 404 9 23479.13
"226" 404 10 27498.49
"227" 404 11 24849.83
"228" 404 12 28507.75
"229" 405 1 18092.3
"230" 405 2 22040.46
"231" 405 3 20708.44
"232" 405 4 20807.94
"233" 405 5 28035.05
"234" 405 6 14515.6
"235" 405 7 19400.42
"236" 405 8 23544.61
"237" 405 9 29614.16
"238" 405 10 32686.89
"239" 405 11 23511.07
"240" 405 12 21453.83
"241" 406 1 22197.86
"242" 406 2 23417.44
"243" 406 3 16544.78
"244" 406 4 24692.58
"245" 406 5 21537.02
"246" 406 6 19141.53
"247" 406 7 17219.38
"248" 406 8 28045.96
"249" 406 9 27670.46
"250" 406 10 25086.51
"251" 406 11 27898.97
"252" 406 12 28808.47
"253" 500 1 13713.25
"254" 500 2 14494.45
"255" 500 3 11150.64
"256" 500 4 9591.32
"257" 500 5 14359.48
"258" 500 6 19468.64
"259" 500 7 24695.29
"260" 500 8 19329.96
"261" 500 9 20671.56
"262" 500 10 39632.23
"263" 500 11 22424.34
"264" 500 12 18913.88
"265" 501 1 13472.5
"266" 501 2 9007.75
"267" 501 3 16660.41
"268" 501 4 16333.01
"269" 501 5 19577.14
"270" 501 6 14249.19
"271" 501 7 24808.51
"272" 501 8 25074.5
"273" 501 9 21065.65
"274" 501 10 26948.29
"275" 501 11 24383.79
"276" 501 12 24303.64
"277" 502 1 13731.29
"278" 502 2 17606.52
"279" 502 3 10143.61
"280" 502 4 16344.63
"281" 502 5 19171.63
"282" 502 6 14438.29
"283" 502 7 18788.37
"284" 502 8 26436.68
"285" 502 9 20338.16
"286" 502 10 23957.2
"287" 502 11 18879.41
"288" 502 12 28279.23
"289" 503 1 16447.15
"290" 503 2 14182.09
"291" 503 3 12924.81
"292" 503 4 21090.59
"293" 503 5 20383.38
"294" 503 6 29066.79
"295" 503 7 17836.5
"296" 503 8 15127.26
"297" 503 9 26846.46
"298" 503 10 24121.76
"299" 503 11 15066.8
"300" 503 12 29074.28
"301" 504 1 19090.39
"302" 504 2 21096.34
"303" 504 3 17796.69
"304" 504 4 19726.67
"305" 504 5 14490.16
"306" 504 6 28178.05
"307" 504 7 21403.81
"308" 504 8 26662.34
"309" 504 9 18653
"310" 504 10 20718.63
"311" 504 11 21736.4
"312" 504 12 26237.13
"313" 505 1 16232.16
"314" 505 2 23458.12
"315" 505 3 16092.49
"316" 505 4 15081.86
"317" 505 5 16852.48
"318" 505 6 25366.52
"319" 505 7 33893.05
"320" 505 8 26860.74
"321" 505 9 26596.11
"322" 505 10 26389.04
"323" 505 11 25652.45
"324" 505 12 31164.3
"325" 506 1 16714.65
"326" 506 2 9777.71
"327" 506 3 19702.64
"328" 506 4 16688.54
"329" 506 5 23464.06
"330" 506 6 30883.92
"331" 506 7 25579.16
"332" 506 8 23615.18
"333" 506 9 17774.43
"334" 506 10 29866.4
"335" 506 11 38334.98
"336" 506 12 28037.76
"337" 600 1 8247.94
"338" 600 2 11537.05
"339" 600 3 9160.89
"340" 600 4 12420.96
"341" 600 5 NA
"342" 600 6 11528.85
"343" 600 7 22304.9
"344" 600 8 11997.26
"345" 600 9 20249.21
"346" 600 10 14980.38
"347" 600 11 NA
"348" 600 12 23350.4
"349" 601 1 10714.97
"350" 601 2 9033.56
"351" 601 3 NA
"352" 601 4 13868.66
"353" 601 5 14162.22
"354" 601 6 15604.83
"355" 601 7 22127.06
"356" 601 8 9892.59
"357" 601 9 11896.69
