"EmpID" "Month" "nSales" "TotSales"
"1" 100 1 16 15687.46
"2" 100 2 21 21496.56
"3" 100 3 11 12015.78
"4" 100 4 18 18537.36
"5" 100 5 13 13440.72
"6" 100 6 13 12748.57
"7" 100 7 17 16931.61
"8" 100 8 21 21864.75
"9" 100 9 20 20147.32
"10" 100 10 13 12928.39
"11" 100 11 19 19046.06
"12" 100 12 21 19194.89
"13" 101 1 11 11559.9
"14" 101 2 6 6769.97
"15" 101 3 12 11177.44
"16" 101 4 12 11463.3
"17" 101 5 15 15683.2
"18" 101 6 23 21686.8
"19" 101 7 17 16329.49
"20" 101 8 20 19622.06
"21" 101 9 18 17521.22
"22" 101 10 16 16511.88
"23" 101 11 15 13251.96
"24" 101 12 24 23343.13
"25" 102 1 7 7783.04
"26" 102 2 15 13574.13
"27" 102 3 13 12676.36
"28" 102 4 NA NA
"29" 102 5 15 13633.35
"30" 102 6 18 17735.02
"31" 102 7 19 19978.48
"32" 102 8 20 21347.33
"33" 102 9 23 22929.23
"34" 102 10 21 21015.57
"35" 102 11 28 28615.6
"36" 102 12 30 28312.28
"37" 103 1 13 13323.09
"38" 103 2 12 13135.85
"39" 103 3 9 8409.75
"40" 103 4 21 20490.99
"41" 103 5 19 18290.95
"42" 103 6 22 21769.26
"43" 103 7 22 21396.09
"44" 103 8 12 12537.55
"45" 103 9 16 16351.73
"46" 103 10 25 21612.83
"47" 103 11 19 19655.85
"48" 103 12 21 20791.7
"49" 104 1 21 20399.71
"50" 104 2 11 10228.43
"51" 104 3 20 21041.34
"52" 104 4 17 16559.92
"53" 104 5 21 21048.18
"54" 104 6 25 26882.32
"55" 104 7 23 22486.09
"56" 104 8 21 21344.22
"57" 104 9 28 26952.95
"58" 104 10 18 16717.6
"59" 104 11 31 32545.22
"60" 104 12 21 19558.7
"61" 105 1 11 11035.39
"62" 105 2 19 18514.55
"63" 105 3 17 16398.11
"64" 105 4 25 24108.91
"65" 105 5 20 18879.58
"66" 105 6 19 17728.69
"67" 105 7 21 19368.85
"68" 105 8 27 26062.06
"69" 105 9 24 23571.38
"70" 105 10 29 27405.2
"71" 105 11 32 30821.07
"72" 105 12 32 30576.98
"73" 200 1 12 11712.93
"74" 200 2 8 9199.32
"75" 200 3 18 17397.91
"76" 200 4 17 16796.34
"77" 200 5 19 19151.07
"78" 200 6 11 10730.99
"79" 200 7 17 17468.02
"80" 200 8 16 17751.82
"81" 200 9 16 16394.37
"82" 200 10 19 19844.91
"83" 200 11 20 21254.77
"84" 200 12 20 20598.44
"85" 201 1 12 13180.75
"86" 201 2 NA NA
"87" 201 3 17 17875.36
"88" 201 4 20 19287.94
"89" 201 5 17 16715.17
"90" 201 6 14 14444.41
"91" 201 7 21 22475.76
"92" 201 8 15 17481.54
"93" 201 9 26 25613.04
"94" 201 10 23 21782.49
"95" 201 11 19 19605.22
"96" 201 12 24 22966.12
"97" 202 1 16 14821.01
"98" 202 2 9 8583.6
"99" 202 3 10 9142.01
"100" 202 4 18 16926.14
"101" 202 5 14 14395.17
"102" 202 6 19 19426.99
"103" 202 7 18 19345.26
"104" 202 8 10 9503.35
"105" 202 9 21 23209.43
"106" 202 10 24 24388.02
"107" 202 11 27 26842.8
"108" 202 12 25 24842.21
"109" 203 1 14 14386.68
"110" 203 2 21 21375.14
"111" 203 3 15 15608.86
"112" 203 4 18 19118.81
"113" 203 5 NA NA
"114" 203 6 26 26179.63
"115" 203 7 30 29189.22
"116" 203 8 22 21782.84
"117" 203 9 23 23132.7
"118" 203 10 24 21470.96
"119" 203 11 26 26389.32
"120" 203 12 19 18773.8
"121" 204 1 15 15456.05
"122" 204 2 18 18740.24
"123" 204 3 17 17371.26
"124" 204 4 13 13531.59
"125" 204 5 25 23478.79
"126" 204 6 23 23181.98
"127" 204 7 23 21932.89
"128" 204 8 22 22740.35
"129" 204 9 22 22478.94
"130" 204 10 35 33694.93
"131" 204 11 26 25011.63
"132" 204 12 25 24506.35
"133" 300 1 12 11902.11
"134" 300 2 9 8962.22
"135" 300 3 11 11044.36
"136" 300 4 17 16102.41
"137" 300 5 9 8764.11
"138" 300 6 21 19619.19
"139" 300 7 17 16735.35
"140" 300 8 15 14707.01
"141" 300 9 21 22216.46
"142" 300 10 20 22021.86
"143" 300 11 22 22343.06
"144" 300 12 25 23559.08
"145" 301 1 11 10460.13
"146" 301 2 14 13850.3
"147" 301 3 11 10366.11
"148" 301 4 20 19460.32
"149" 301 5 17 17615.36
"150" 301 6 11 12196.29
"151" 301 7 12 11141.79
"152" 301 8 23 20407.63
"153" 301 9 15 14096.85
"154" 301 10 25 25810.86
"155" 301 11 20 20498.06
"156" 301 12 31 30785.72
"157" 302 1 9 9128.96
"158" 302 2 19 19314.78
"159" 302 3 10 10410.53
"160" 302 4 21 22568.68
"161" 302 5 14 14714.7
"162" 302 6 19 18676.87
"163" 302 7 25 25148.66
"164" 302 8 19 19421.84
"165" 302 9 15 14016.68
"166" 302 10 16 16079.96
"167" 302 11 15 15589.37
"168" 302 12 23 23694.32
"169" 400 1 12 12162.31
"170" 400 2 15 16456.45
"171" 400 3 15 14963.88
"172" 400 4 15 14743.18
"173" 400 5 10 8724.43
"174" 400 6 19 20658.16
