LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;DEBTINC;PAID;ID
1100;25860;39025;HomeImp;Other;10.5;0;0;94.37;1;9;NA;0;1
1300;70053;68400;HomeImp;Other;7;0;2;121.83;0;14;NA;0;2
1500;13500;16700;HomeImp;Other;4;0;0;149.47;1;10;NA;0;3
1500;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;4
1700;97800;112000;HomeImp;Office;3;0;0;93.33;0;14;NA;1;5
1700;30548;40320;HomeImp;Other;9;0;0;101.47;1;8;37.114;0;6
1800;48649;57037;HomeImp;Other;5;3;2;77.1;1;17;NA;0;7
1800;28502;43034;HomeImp;Other;11;0;0;88.77;0;8;36.885;0;8
2000;32700;46740;HomeImp;Other;3;0;2;216.93;1;12;NA;0;9
2000;NA;62250;HomeImp;Sales;16;0;0;115.8;0;13;NA;0;10
2000;22608;NA;0;0;18;NA;NA;NA;NA;NA;NA;0;11
2000;20627;29800;HomeImp;Office;11;0;1;122.53;1;9;NA;0;12
2000;45000;55000;HomeImp;Other;3;0;0;86.07;2;25;NA;0;13
2000;64536;87400;0;Mgr;2.5;0;0;147.13;0;24;NA;1;14
2100;71000;83850;HomeImp;Other;8;0;1;123;0;16;NA;0;15
2200;24280;34687;HomeImp;Other;NA;0;1;300.87;0;8;NA;0;16
2200;90957;102600;HomeImp;Mgr;7;2;6;122.9;1;22;NA;0;17
2200;23030;NA;0;0;19;NA;NA;NA;NA;NA;3.711;0;18
2300;28192;40150;HomeImp;Other;4.5;0;0;54.6;1;16;NA;0;19
2300;102370;120953;HomeImp;Office;2;0;0;90.99;0;13;31.589;1;20
2300;37626;46200;HomeImp;Other;3;0;1;122.27;1;14;NA;0;21
2400;50000;73395;HomeImp;ProfExe;5;1;0;NA;1;0;NA;0;22
2400;28000;40800;HomeImp;Mgr;12;0;0;67.2;2;22;NA;0;23
2400;18000;NA;HomeImp;Mgr;22;NA;2;121.73;0;10;NA;0;24
2400;NA;17180;HomeImp;Other;NA;0;0;14.57;3;4;NA;0;25
2400;34863;47471;HomeImp;Mgr;12;0;0;70.49;1;21;38.264;0;26
2400;98449;117195;HomeImp;Office;4;0;0;93.81;0;13;29.682;1;27
2500;15000;20200;HomeImp;0;18;0;0;136.07;1;19;NA;0;28
2500;25116;36350;HomeImp;Other;10;1;2;276.97;0;9;NA;0;29
2500;7229;44516;HomeImp;Self;NA;0;0;208;0;12;NA;1;30
2500;71408;78600;HomeImp;ProfExe;8;0;0;255.73;0;12;NA;1;31
2800;50795;63100;HomeImp;Self;26;2;15;145.63;3;45;NA;0;32
2800;4000;60850;HomeImp;Other;16;4;0;112.63;2;9;NA;0;33
2900;78600;113000;DebtCon;ProfExe;6;1;0;165.33;2;26;NA;0;34
2900;103949;112505;HomeImp;Office;1;0;0;96.1;0;13;30.051;1;35
2900;104373;120702;HomeImp;Office;2;0;0;101.54;0;13;29.916;1;36
2900;7750;67996;HomeImp;Other;16;3;0;122.2;2;8;36.211;0;37
2900;61962;70915;DebtCon;Mgr;2;0;0;282.8;3;37;49.206;0;38
3000;104570;121729;HomeImp;Office;2;0;0;85.88;0;14;32.06;1;39
3000;7000;20300;HomeImp;Other;3;0;0;50.8;5;9;NA;0;40
3000;NA;8800;HomeImp;Other;2;0;1;77.77;0;3;NA;0;41
3000;NA;33000;HomeImp;Other;1;0;1;23.3;1;2;NA;0;42
3000;119826;193500;HomeImp;Other;8;0;0;130.03;0;27;NA;0;43
3000;20000;29750;DebtCon;Other;2;0;0;187.07;0;12;NA;0;44
3000;NA;14500;HomeImp;Other;3;0;0;9.3;14;2;NA;0;45
3000;NA;14100;HomeImp;Other;1;0;0;104.2;0;19;NA;0;46
3000;47000;82700;HomeImp;ProfExe;10;0;1;262.17;5;26;NA;0;47
3000;34542;45900;HomeImp;Mgr;8.5;0;2;62.37;0;10;NA;0;48
3000;58000;71500;HomeImp;Mgr;10;NA;2;211.93;0;25;NA;1;49
3000;47000;56400;HomeImp;Office;21;0;0;201.87;0;20;NA;1;50
3100;39589;36100;HomeImp;Other;1.5;0;0;153.17;1;14;NA;0;51
3100;NA;70400;0;0;NA;NA;NA;NA;NA;NA;NA;1;52
3200;67848;74566;HomeImp;Mgr;10;NA;1;206.43;0;25;40.116;1;53
3200;48603;61000;HomeImp;ProfExe;28;0;4;122.03;1;25;NA;0;54
3200;27200;40834;HomeImp;Other;NA;0;0;298.13;0;7;35.554;0;55
3200;54000;64850;HomeImp;Other;1;0;0;121.87;3;21;NA;0;56
3200;74864;87266;HomeImp;ProfExe;7;0;0;250.63;0;12;42.91;1;57
3200;23159;NA;HomeImp;Mgr;20;NA;2;117.81;0;9;0.524;0;58
3300;126541;134527;HomeImp;Sales;9;1;0;139;0;36;NA;0;59
3300;130518;164317;DebtCon;Other;9;0;6;192.29;0;33;35.731;0;60
3400;37000;52000;HomeImp;Office;2;0;1;183.3;0;6;NA;0;61
3500;23200;38666;HomeImp;Other;11;0;0;162.37;0;14;NA;0;62
