"fix","sex","intent"
0.081,1,4
2.235,0,4
1.675,1,7
0.63,1,4
2.197,1,11
0.424,0,3
4.378,1,14
2.588,0,4
2.036,0,3
0.104,1,3
1.486,0,4
1.598,1,6
0.148,0,3
1.582,1,7
2.789,1,10
0.319,0,2
2.812,0,4
0.855,1,5
0.182,1,2
1.119,0,3
0.103,1,4
1.11,1,6
1.353,0,3
1.271,1,7
0.789,1,5
0.634,1,7
0.882,1,7
1.195,0,3
1.391,0,4
1.655,0,5
0.852,0,3
2.074,1,11
3.044,1,13
2.863,0,4
0.63,1,5
0.421,1,5
1.078,0,3
2.012,1,8
0.508,0,3
1.266,1,10
3.298,0,6
1.725,0,4
0.892,1,8
0.999,1,6
0.833,0,4
1.101,1,5
1.588,0,2
0.364,1,7
0.654,1,5
0.803,0,4
2.06,0,4
2.02,1,8
1.978,1,12
2.063,0,2
2.568,1,12
2.78,1,13
1.805,0,5
1.354,1,8
1.269,1,7
1.531,0,4
1.331,0,3
4.096,0,3
4.441,1,14
1.462,0,5
1.274,1,8
2.388,1,12
4.434,1,14
0.944,0,3
0.405,0,2
0.738,0,3
2.373,0,4
0.814,0,5
1.567,0,4
1.291,0,3
2.087,1,9
4.863,1,14
1.308,0,3
0.941,1,7
1.483,0,4
0.107,0,2
0.893,1,6
1.724,1,10
1.634,0,4
2.053,1,13
0.536,0,2
0.837,0,3
3.312,1,14
2.201,1,11
0.798,0,5
2.809,1,14
3.902,0,5
0.838,0,3
3.006,1,14
1.173,0,4
5.835,0,6
0.772,0,3
0.211,1,4
2.352,1,10
2.182,1,10
1.221,1,8
0.603,1,5
1.683,0,2
0.876,0,4
3.811,1,14
0.961,0,2
1.381,1,8
0.979,1,7
0.758,1,6
2.027,0,3
1.231,1,8
0.028,1,3
0.92,1,7
0.786,1,7
1.251,0,3
1.236,0,4
0.777,1,6
2.371,0,4
2.097,0,4
1.565,0,3
1.306,0,3
