"ban","score"
1,1.599
1,2.364
1,2.106
1,1.683
1,1.959
1,1.909
1,1.597
1,1.726
1,1.819
1,1.782
1,2.117
1,1.425
1,1.796
1,2.053
1,1.858
1,2.153
1,1.636
1,2.17
1,1.395
1,2.285
1,1.873
1,1.837
1,2.048
1,1.871
1,2.374
1,1.9
1,1.898
2,2.309
2,1.913
2,2.431
2,2.375
2,2.791
2,1.531
2,1.987
2,2.284
2,2.321
2,2.156
2,2.403
2,1.654
2,1.819
2,2.375
2,1.693
2,1.955
2,2.478
2,1.782
2,2.228
2,1.784
2,2.301
2,2.575
2,2.242
2,1.365
2,1.732
2,2.091
2,1.795
2,2.037
2,1.9
2,2.101
2,1.904
2,1.71
2,2.371
3,1.977
3,2.307
3,2.11
3,2.119
3,3.018
3,2.04
3,2.488
3,1.877
3,1.774
3,2.299
3,1.827
3,2.499
3,1.781
3,2.326
3,2.294
3,2.334
3,1.923
3,2.234
3,2.487
3,2.435
3,1.755
3,2.002
3,2.177
3,2.771
3,2.011
3,2.747
3,2.112
3,2.167
3,2.385
3,1.574
