"station","arrondissement","mm","jj","n_tot","n_AM","n_PM","n_rush","temp","precip_ind"
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",10,5,93,10,32,42,10.3,0
"Carrefour Angrignon (Angrignon / Newman)","LaSalle",5,6,21,1,15,16,12.8,0
"Robert-Bourassa / René-Lévesque","Ville-Marie",7,3,64,4,21,25,22.8,1
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",8,1,6,0,0,0,18.4,0
"Émile-Journault / de Châteaubriand","Ahuntsic-Cartierville",8,3,40,6,12,18,19.2,0
"Laval / du Mont-Royal","Le Plateau-Mont-Royal",7,5,108,14,23,37,21.7,0
"St-Patrick / Briand","Le Sud-Ouest",10,4,27,4,10,14,6.7,0
"Tupper / du Fort","Ville-Marie",9,2,71,9,22,31,15.7,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",5,3,44,10,14,24,16.7,0
"Mackay / Ste-Catherine","Ville-Marie",9,3,108,11,31,42,14.5,1
"Travaux publics LaSalle (Cordner / Léger)","LaSalle",9,7,9,1,2,3,21.7,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",6,5,19,7,3,10,18.9,0
"29e avenue / St-Zotique","Rosemont - La Petite-Patrie",5,4,34,8,6,14,11.1,0
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",7,4,46,5,22,27,20.2,0
"Boyer / Jean-Talon","Villeray—Saint-Michel—Parc-Extension",10,2,66,7,18,25,16.4,0
"Gilford / Papineau","Le Plateau-Mont-Royal",6,2,92,20,34,54,23.3,0
"St-Dominique / Rachel","Le Plateau-Mont-Royal",10,1,68,5,8,13,5.9,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",7,4,166,20,49,69,25.4,0
"Brébeuf / Curé-Poirier","Longueuil",5,5,4,0,0,0,14.4,0
"Atwater / Sherbrooke","Ville-Marie",10,3,50,10,6,16,9.7,0
"St-Laurent / Joliette","Longueuil",8,6,15,0,9,9,21.4,0
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",5,5,158,9,53,62,17.4,0
"de Chenonceau / Chomedey","Laval",5,2,7,0,2,2,21.8,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",10,6,17,1,6,7,9.9,0
"Brittany / Ainsley","Mont-Royal",6,6,32,1,12,13,14.8,0
"de Grenoble / de Cassis","Laval",5,7,1,0,0,0,12.1,1
"St-Dominique / Rachel","Le Plateau-Mont-Royal",9,6,257,12,35,47,16.4,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",9,2,6,1,3,4,17.9,0
"de Grenoble / de Cassis","Laval",10,7,2,1,1,2,7.5,0
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",5,3,85,22,29,51,16.7,0
"de Grenoble / de Cassis","Laval",10,5,2,0,1,1,17.1,0
"de Chambly / de Rouen","Mercier - Hochelaga-Maisonneuve",6,5,23,5,3,8,18.4,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,5,21,0,1,1,20.1,1
"Atwater / Sherbrooke","Ville-Marie",8,5,51,5,11,16,27.4,0
"Wilderton  / Van Horne","Côte-des-Neiges - Notre-Dame-de-Grâce",7,2,101,19,17,36,22.6,0
"Querbes / Laurier","Outremont",7,1,66,7,16,23,20.9,0
"Saint-Rémi / Valois","Laval",5,1,3,1,0,1,15.3,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",5,3,57,13,15,28,11.7,0
"Hutchison / Van Horne","Le Plateau-Mont-Royal",5,4,76,15,17,32,21.7,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",10,3,68,17,21,38,15.7,0
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",9,3,2,1,0,1,18.1,0
"Métro de la Savane (Décarie / de Sorel)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,5,15,0,5,5,27.4,0
"Jean-Paul-Vincent / Adoncour","Longueuil",7,3,2,0,0,0,22.8,1
"Parc Aimé-Léonard (Gouin / Ste-Gertrude)","Montréal-Nord",8,3,14,1,2,3,24,0
"St-Patrick / Briand","Le Sud-Ouest",8,1,49,6,16,22,18.8,0
"Chambord / Beaubien","Rosemont - La Petite-Patrie",6,4,82,15,13,28,21.5,1
"La Tour de Montréal (Pierre-de-Coubertin / Bennett)","Mercier - Hochelaga-Maisonneuve",10,4,11,0,4,4,6.7,0
"41e avenue / Rosemont","Rosemont - La Petite-Patrie",8,4,30,7,6,13,23.6,0
